2025-12-07 19:32:47,049 - INFO - Logging setup complete. Log file: /Users/adarshainamdar/Downloads/Major_Project-main/outputs/logs/training_pipeline.log
2025-12-07 20:01:02,616 - INFO - Epoch 56 | Val Acc: 0.7812
2025-12-07 20:01:07,270 - INFO - Epoch 57 | Val Acc: 0.7604
2025-12-07 20:01:11,929 - INFO - Epoch 58 | Val Acc: 0.8750
2025-12-07 20:01:16,577 - INFO - Epoch 59 | Val Acc: 0.8438
2025-12-07 20:01:21,224 - INFO - Epoch 60 | Val Acc: 0.9115
2025-12-07 20:01:25,926 - INFO - Epoch 61 | Val Acc: 0.9167
2025-12-07 20:01:30,643 - INFO - Epoch 62 | Val Acc: 0.9323
2025-12-07 20:01:35,323 - INFO - Epoch 63 | Val Acc: 0.9062
2025-12-07 20:01:40,117 - INFO - Epoch 64 | Val Acc: 0.9167
2025-12-07 20:01:44,715 - INFO - Epoch 65 | Val Acc: 0.8646
2025-12-07 20:01:49,421 - INFO - Epoch 66 | Val Acc: 0.8073
2025-12-07 20:01:54,056 - INFO - Epoch 67 | Val Acc: 0.8802
2025-12-07 20:01:58,750 - INFO - Epoch 68 | Val Acc: 0.8802
2025-12-07 20:02:03,380 - INFO - Epoch 69 | Val Acc: 0.9115
2025-12-07 20:02:08,083 - INFO - Epoch 70 | Val Acc: 0.8958
2025-12-07 20:02:12,787 - INFO - Epoch 71 | Val Acc: 0.9271
2025-12-07 20:02:18,226 - INFO - Epoch 72 | Val Acc: 0.8698
2025-12-07 20:02:23,128 - INFO - Epoch 73 | Val Acc: 0.6302
2025-12-07 20:02:27,919 - INFO - Epoch 74 | Val Acc: 0.8594
2025-12-07 20:02:32,609 - INFO - Epoch 75 | Val Acc: 0.8646
2025-12-07 20:02:37,347 - INFO - Epoch 76 | Val Acc: 0.8802
2025-12-07 20:02:42,265 - INFO - Epoch 77 | Val Acc: 0.8958
2025-12-07 20:02:47,060 - INFO - Epoch 78 | Val Acc: 0.7917
2025-12-07 20:02:52,171 - INFO - Epoch 79 | Val Acc: 0.8333
2025-12-07 20:02:57,191 - INFO - Epoch 80 | Val Acc: 0.8281
2025-12-07 20:03:02,155 - INFO - Epoch 81 | Val Acc: 0.8542
2025-12-07 20:03:07,175 - INFO - Epoch 82 | Val Acc: 0.7604
2025-12-07 20:03:12,015 - INFO - Epoch 83 | Val Acc: 0.9010
2025-12-07 20:03:16,807 - INFO - Epoch 84 | Val Acc: 0.8854
2025-12-07 20:03:21,501 - INFO - Epoch 85 | Val Acc: 0.8906
2025-12-07 20:03:26,162 - INFO - Epoch 86 | Val Acc: 0.7656
2025-12-07 20:03:30,922 - INFO - Epoch 87 | Val Acc: 0.8958
2025-12-07 20:03:35,552 - INFO - Epoch 88 | Val Acc: 0.8333
2025-12-07 20:03:40,400 - INFO - Epoch 89 | Val Acc: 0.8854
2025-12-07 20:03:45,077 - INFO - Epoch 90 | Val Acc: 0.8490
2025-12-07 20:03:49,794 - INFO - Epoch 91 | Val Acc: 0.9010
2025-12-07 20:03:54,454 - INFO - Epoch 92 | Val Acc: 0.8958
2025-12-07 20:03:59,121 - INFO - Epoch 93 | Val Acc: 0.8125
2025-12-07 20:04:03,763 - INFO - Epoch 94 | Val Acc: 0.8021
2025-12-07 20:04:08,521 - INFO - Epoch 95 | Val Acc: 0.8646
2025-12-07 20:04:13,168 - INFO - Epoch 96 | Val Acc: 0.8958
2025-12-07 20:04:17,787 - INFO - Epoch 97 | Val Acc: 0.9115
2025-12-07 20:04:22,483 - INFO - Epoch 98 | Val Acc: 0.9323
2025-12-07 20:04:27,121 - INFO - Epoch 99 | Val Acc: 0.8854
2025-12-07 20:04:31,866 - INFO - Epoch 100 | Val Acc: 0.9010
2025-12-07 20:04:31,867 - INFO - --- Evaluating Model on Test Set ---
2025-12-07 20:04:33,459 - INFO - === MULTITASKS PIPELINE ===
2025-12-07 20:04:33,653 - INFO - --- Starting Multi-Task Model Training ---
2025-12-07 20:04:38,150 - INFO - Epoch 1 | Val Type Acc: 0.6875
2025-12-07 20:04:42,673 - INFO - Epoch 2 | Val Type Acc: 0.7552
2025-12-07 20:04:47,311 - INFO - Epoch 3 | Val Type Acc: 0.8229
2025-12-07 20:04:52,049 - INFO - Epoch 4 | Val Type Acc: 0.8073
2025-12-07 20:04:56,689 - INFO - Epoch 5 | Val Type Acc: 0.8333
2025-12-07 20:05:01,462 - INFO - Epoch 6 | Val Type Acc: 0.8906
2025-12-07 20:05:06,227 - INFO - Epoch 7 | Val Type Acc: 0.8854
2025-12-07 20:05:10,978 - INFO - Epoch 8 | Val Type Acc: 0.9219
2025-12-07 20:05:15,661 - INFO - Epoch 9 | Val Type Acc: 0.8802
2025-12-07 20:05:20,446 - INFO - Epoch 10 | Val Type Acc: 0.9115
2025-12-07 20:05:25,088 - INFO - Epoch 11 | Val Type Acc: 0.9323
2025-12-07 20:05:29,900 - INFO - Epoch 12 | Val Type Acc: 0.9271
2025-12-07 20:05:34,534 - INFO - Epoch 13 | Val Type Acc: 0.8802
2025-12-07 20:05:39,243 - INFO - Epoch 14 | Val Type Acc: 0.9010
